batch,barcode,time_point,media,replicate,culture,condition,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,154Sm_pSMAD1_5_9,155Gd_pAKT_S473,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_pS6_2_S240_244,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28,CLU_IdU,LRIG1_IdU
B4,19,24h,Ctrl,1,24h_Ctrl,24h_Ctrl_1,0.024492845,0.041257972,-0.05758414,0.154524814,0.182367396,0.078065833,0.060605816,0.088294428,0.078207972,0.081870812,0.086132319,0.11628152,0.137860106,0.100837707,0.083106447,0.052092685,0.033833795,0.039050944,0.096412191,0.143012456,0.115852428,0.136898311,0.121382703,0.082391492,0.063571977,0.121171895,0.069445625,0.038356001,0.124631628,0.057013208,0.044730875,0.0646264,0.088672745,0.13606855,0.138379681,0.053270436,0.063848701,0.052900202,0.015879547,0.014595307,-0.024918194,0.143808256,0.024409433,3.148148148,18.61777151
B4,20,24h,Ctrl,2,24h_Ctrl,24h_Ctrl_2,0.036441778,0.027060732,-0.050393265,0.244667717,0.136644466,0.027592716,0.034324223,0.050110996,0.044943216,0.052026331,0.084709352,0.061874105,0.130494981,0.120575869,0.052011222,0.045716757,0.028459442,0.03282172,0.054460324,0.099395326,0.099875582,0.096876551,0.076528983,0.076321398,0.056662543,0.090291224,0.024670711,0.02393267,0.06181853,0.021806971,0.031321909,0.04468012,0.057594207,0.12784417,0.096670937,-0.02524883,0.053378127,0.04049385,-0.010545926,-0.010189395,0.013496048,0.116187872,0.012768502,1.382488479,17.66055046
B4,21,24h,Ctrl,3,24h_Ctrl,24h_Ctrl_3,0.053757558,-0.064361251,0.097124146,-0.37397252,-0.304340228,-0.098012125,-0.091165745,-0.132386515,-0.117615821,-0.127900114,-0.161455426,-0.170657219,-0.254668397,-0.208848982,-0.128166255,-0.092963422,-0.059207403,-0.066865547,-0.144881717,-0.231072157,-0.204825051,-0.223365221,-0.187382574,-0.150109626,-0.113925614,-0.201250695,-0.090249463,-0.057988424,-0.168439079,-0.073698037,-0.071801828,-0.104453094,-0.139980542,-0.250491227,-0.224042434,-0.051549778,-0.111568637,-0.084452455,-0.012800008,-0.012856112,0.03168674,-0.247543869,-0.034773841,1.195219124,22.44897959
B4,22,24h,EGF,1,24h_EGF,24h_EGF_1,0.292531262,0.327514769,-0.109642128,1.089287556,0.415306883,0.171668933,0.172614724,0.222242789,0.202962261,0.246111321,0.323432016,0.4903329,0.459301824,0.438589814,0.210102228,0.168546053,0.098434916,0.109626522,0.213256573,0.39606572,0.383413755,0.282804757,0.335188226,0.409366065,0.185789821,0.408853778,0.141887433,0.076120339,0.23029334,0.087689807,0.22447935,0.165458772,0.281752181,0.305963204,0.422309692,-0.046726286,0.23343011,0.14257045,0.05346349,0.053597819,-0.289348074,0.251625956,0.086046962,1.74291939,19.70310391
B4,23,24h,EGF,2,24h_EGF,24h_EGF_2,0.29255396,0.26799249,0.087313626,0.978826462,0.455696217,0.140808624,0.186099241,0.239394974,0.176406832,0.21436892,0.20823586,0.320653939,0.346729134,0.364991908,0.250171304,0.171408563,0.125002099,0.180270877,0.239887074,0.292966753,0.35652991,0.243206301,0.245310651,0.306318878,0.267263367,0.286229989,0.17849252,0.124362118,0.173999878,0.124183689,0.193513672,0.216834776,0.245644564,0.275268777,0.32200853,0.038845034,0.237694342,0.17242747,0.072216166,0.071069626,-0.325951089,0.2414501,0.089582804,1.312910284,14.73577236
B4,24,24h,EGF,3,24h_EGF,24h_EGF_3,0.232961692,0.198910928,0.102970005,0.940513424,0.354597822,0.140177527,0.168357145,0.154934314,0.150273728,0.235391513,0.269795823,0.273454709,0.326166213,0.348655159,0.140183037,0.149594148,0.105501503,0.181916082,0.208366174,0.272774101,0.281585834,0.188748515,0.182063999,0.321696362,0.197477505,0.267654078,0.157408869,0.072949437,0.155989894,0.120709871,0.134473208,0.165250805,0.248127844,0.214609382,0.306096104,0.067413324,0.248586639,0.137358462,0.095348876,0.094914165,-0.393087136,0.210740198,0.086174688,1.391035549,16.89730517
B4,25,24h,WNT3A,1,24h_WNT3A,24h_WNT3A_1,0.233645959,0.11757943,-0.054870238,0.328337006,-0.139868653,0.063906769,0.042726393,0.221333457,0.041510597,-0.068066594,0.108264727,0.150176283,-0.077962043,-0.043172478,-0.015254743,-0.017716197,0.01434974,0.10226263,-0.052445188,-0.078188642,-0.025972082,-0.120059836,-0.029324027,-0.116055351,-0.058796856,0.123097438,0.066348236,0.049705263,0.076665714,0.044828345,0.11113561,-0.045324684,-0.052744091,-0.124881062,-0.055538994,0.72675179,-0.0664921,0.033024573,0.028846222,0.030085739,-0.192457995,-0.21488479,0.0163152,1.046337818,13.87054161
B4,26,24h,WNT3A,2,24h_WNT3A,24h_WNT3A_2,0.191650673,0.017175046,0.156672268,0.397528539,-0.200011722,-0.071733364,-0.032404394,-0.226619512,-0.077864663,-0.108152802,-0.182881002,-0.164445335,-0.174743985,-0.182248923,-0.14610951,-0.05734469,-0.017708586,0.11238265,-0.090249236,-0.246817307,-0.172834604,-0.221547369,-0.163679138,-0.234830517,-0.06794568,-0.23838386,0.07400968,0.04304476,-0.130878442,-0.066645059,0.097613399,-0.068685511,-0.119005478,-0.244714384,-0.151277554,0.875164224,-0.119043085,-0.029364125,0.025780405,0.024902419,-0.212289303,-0.292838707,-0.048746731,1.978021978,20.56583243
B4,27,24h,WNT3A,3,24h_WNT3A,24h_WNT3A_3,0.269719656,0.094785185,0.099514522,0.387236146,0.102646794,0.108036343,0.115107509,0.291197402,0.086172585,0.101331837,0.197318831,0.175555296,0.105807147,0.088724468,0.026726629,0.075005742,0.069665383,0.155651893,0.099370431,0.100390482,0.060890602,0.112134224,0.060881751,-0.048810611,0.072095145,0.134294644,0.108146221,0.103279178,0.088065242,0.081087499,0.134756361,0.082750837,0.088890593,0.041038766,0.149281363,0.807678112,-0.023561685,0.103167126,0.043949016,0.042397012,-0.414855216,-0.073021443,0.021592537,1.830663616,21.86459489
B4,10,12h,Ctrl,1,12h_Ctrl,12h_Ctrl_1,0.018157553,-0.022675387,0.024143928,-0.051403655,0.032530605,0.03160517,0.018803885,0.073444426,0.031874432,0.04182504,0.084705487,0.08232965,0.088483578,0.065073144,0.035044414,0.025722651,0.011197846,0.021472854,0.025617532,0.082077081,0.037998577,0.068649775,0.05633324,0.038995089,0.036494694,0.086571515,0.015534892,0.025430847,0.050665991,0.020666742,0.048346604,0.015007661,0.053927306,0.062163343,0.062263336,0.038498239,0.016231629,0.057245022,-0.006767809,-0.006543339,0.092042141,0.095516785,0.008064792,0.589390963,16.20498615
B4,11,12h,Ctrl,2,12h_Ctrl,12h_Ctrl_2,0.00842055,-0.018209607,-0.008329526,-0.08527475,0.022430014,-0.048288351,-0.013339519,-0.011820345,-0.013705744,-0.018639893,-0.00854162,0.015705785,0.024545402,0.007757089,-0.012505572,-0.018197931,0.005466842,0.023411784,0.01763576,-0.016036359,0.033505672,0.011806874,0.013970361,0.0268823,0.026177489,0.028582317,0.016631649,0.011588997,-0.008340709,-0.014425848,-0.031050334,-0.008360199,0.007259864,0.023144122,0.0144139,0.044462631,-0.007036433,-0.031325583,-0.005358149,-0.006099564,0.097165936,0.017448094,0.005755169,1.702932829,19.49458484
B4,12,12h,Ctrl,3,12h_Ctrl,12h_Ctrl_3,0.018617678,0.032049215,0.021361629,0.095120693,-0.040587522,-0.018633509,-0.006966648,-0.04735038,-0.018074104,-0.021846298,-0.061300607,-0.060975341,-0.085902803,-0.054315873,-0.025218646,-0.010497426,-0.010637654,-0.035236085,-0.026752596,-0.064361842,-0.055301637,-0.050149426,-0.050402435,-0.049385611,-0.049202349,-0.086012364,-0.017682464,-0.0186944,-0.037941453,-0.01038718,-0.023078265,-0.010672797,-0.043377298,-0.058771053,-0.052072633,-0.065163473,-0.008331246,-0.020040147,0.007169202,0.00669562,-0.150982207,-0.086688876,-0.006617813,0.881410256,18.7250996
B4,13,12h,EGF,1,12h_EGF,12h_EGF_1,0.029925401,-0.047596103,0.267574567,0.135715018,-0.087092358,-0.032331504,0.026502503,-0.060479121,-0.025627441,-0.044078419,-0.105286951,-0.112360786,-0.1103474,-0.111630016,-0.085454823,0.012783617,0.015416075,0.144225477,-0.035770278,-0.170972631,-0.094360197,-0.107794597,-0.089397706,-0.030610965,0.088214938,-0.092339948,0.053183293,0.018083258,-0.105756396,-0.021985686,-0.034309442,0.044383499,-0.061776076,-0.110393227,-0.067201821,0.065892159,0.020883286,-0.014400269,0.043655579,0.043135916,-0.07721404,-0.173047078,0.010323019,0.559284116,21.89973615
B4,14,12h,EGF,2,12h_EGF,12h_EGF_2,0.047727462,0.083009957,0.103004298,0.228478191,0.123016054,-0.042566303,0.019688335,-0.022436494,0.016572367,0.025385764,-0.044601837,-0.031800322,-0.054587389,-0.042874128,-0.015405955,0.021526536,-0.008074309,0.094602253,0.047822658,-0.051208091,-0.043505442,-0.024648764,-0.027709521,0.089288895,0.127929148,-0.045255892,0.034177296,0.012882783,-0.05012194,0.019168615,0.077553708,0.059857725,-0.024048938,-0.058852062,0.037842679,0.098954107,0.061746157,0.018307108,0.015785799,0.015515334,0.232365605,-0.049781423,0.030441433,1.185185185,21.92982456
B4,15,12h,EGF,3,12h_EGF,12h_EGF_3,0.037938912,-0.049183674,0.107121061,0.307069258,0.054248895,-0.040637493,0.015935821,-0.049026407,-0.024921276,0.020311329,0.04428205,0.023177652,0.065925584,0.059757476,-0.054971665,0.015030788,-0.009037212,0.051361019,0.023447786,0.034228819,0.055304626,-0.030410563,-0.018857712,0.098417311,0.08678804,-0.029365912,0.020564075,-0.032200367,-0.076080326,0.022339135,0.032683061,0.034682054,0.045981115,0.075389466,0.044158032,0.12691193,0.045496603,0.035916841,-0.0187182,-0.018701287,0.25318509,0.072063636,0.008621172,1.013513514,19.23620934
B4,16,12h,WNT3A,1,12h_WNT3A,12h_WNT3A_1,0.055460044,-0.069607308,0.239523781,-0.356536192,-0.161644282,-0.070470427,-0.02666217,-0.154444972,-0.052771041,-0.059895296,-0.132439241,-0.14139011,-0.187581475,-0.155871035,-0.123215552,-0.02238343,-0.019296664,0.100678423,-0.046303402,-0.227174703,-0.166640665,-0.15033669,-0.129338311,-0.070620425,-0.032383542,-0.14578452,-0.040110003,-0.020396457,-0.122360448,-0.035237839,-0.057302805,-0.02841238,-0.11718276,-0.16777448,-0.050022533,0.37773498,-0.032183183,0.034473582,0.027778993,0.030288783,-0.210011188,-0.216051631,-0.031657187,1.033769814,5.603448276
B4,17,12h,WNT3A,2,12h_WNT3A,12h_WNT3A_2,0.016037733,0.013383075,-0.043184774,-0.261368665,-0.166114007,-0.024114356,-0.024866942,0.11999713,-0.012475831,-0.044207212,0.048151651,0.06157885,0.029693223,0.025950865,0.025778674,-0.021822673,-0.024041029,-0.062538611,-0.059886248,0.048074699,0.032744471,0.033902453,0.016534524,-0.041459366,-0.061982091,0.023908102,-0.054639432,-0.017825274,-0.047134055,-0.03756634,0.055139975,-0.059944944,0.016304272,0.044856897,-0.020252933,0.234171361,0.013130876,0.008204397,0.00560655,0.005002228,0.037690055,0.040764268,0.009014352,0.702576112,10.53351573
B4,18,12h,WNT3A,3,12h_WNT3A,12h_WNT3A_3,0.015468321,-0.138573592,0.028183894,-0.32056043,-0.158706712,-0.062591214,-0.048426511,-0.074785279,-0.06308952,-0.079110092,-0.040220458,-0.027778802,-0.060298112,-0.056658136,-0.071626009,-0.052298048,-0.029421396,-0.015626034,-0.070459239,-0.081303836,-0.061373864,-0.088303553,-0.061306618,-0.075190221,-0.045766999,-0.043579181,-0.063092116,-0.034220625,-0.095867162,-0.062189116,-0.025910531,-0.069538759,-0.057562961,-0.092780175,-0.057690045,0.223808561,-0.064509517,-0.038830179,-0.006657539,-0.006880028,0.159816366,-0.113295203,-0.016361215,0.655976676,9.981167608
B4,28,48h,Ctrl,1,48h_Ctrl,48h_Ctrl_1,0.010817904,0.009328029,-0.062517451,0.138362809,0.130472302,0.049096144,0.055476903,0.067128459,0.083072989,0.076762345,0.107322338,0.127461377,0.154499491,0.116811976,0.060144346,0.059068009,0.036378539,0.047456942,0.077873568,0.122632013,0.100293927,0.114288541,0.104698334,0.129779276,0.072979596,0.158751629,0.063694856,0.033979693,0.110704963,0.046896637,0.047594542,0.059286673,0.079160763,0.097153097,0.133423699,0.030379006,0.072971915,0.059919501,0.0162827,0.016514668,-0.097244456,0.112758492,0.03190722,0.654761905,50.08282717
B4,29,48h,Ctrl,2,48h_Ctrl,48h_Ctrl_2,0.009159825,-0.015344497,0.009756561,-0.052196313,0.025401621,0.019957277,0.012052524,0.009991526,0.013098419,0.017638446,0.016620214,-0.016873959,-0.008239616,0.006563218,0.028822323,0.017678331,0.008213309,0.017466217,0.0196069,0.014820183,-0.006553687,0.014193858,0.028459634,0.017601166,0.010428482,-0.014695417,0.016455007,0.009604886,0.017987163,0.020295646,0.003903218,0.023680518,0.008536289,0.016292961,0.021798721,0.032343588,0.006509338,0.080745209,0.01143166,0.011015903,0.071599269,-0.020417363,0.012038424,0.536912752,51.40361822
B4,30,48h,Ctrl,3,48h_Ctrl,48h_Ctrl_3,0.00697678,0.004193677,0.067014187,-0.101955027,-0.155247003,-0.063546603,-0.068272286,-0.067989023,-0.094420243,-0.094637476,-0.125117867,-0.121442986,-0.161606447,-0.123793665,-0.087598891,-0.076184479,-0.044833532,-0.063860597,-0.095971196,-0.140548117,-0.10177304,-0.129089617,-0.133243196,-0.132673028,-0.07796302,-0.166908811,-0.079318512,-0.038740518,-0.131617464,-0.066066618,-0.049685233,-0.082116676,-0.080938276,-0.114116795,-0.158870248,-0.054789474,-0.080251739,-0.131213667,-0.026447508,-0.02642653,0.042242309,-0.108116724,-0.042920392,0.380434783,44.53125
B4,31,48h,EGF,1,48h_EGF,48h_EGF_1,0.125356295,0.05390631,-0.379950763,0.814931451,0.333442651,-0.117994402,0.058658664,0.156557191,-0.161089902,-0.182771464,0.286865672,0.479536144,0.624719541,0.372238244,0.174869728,0.068420148,0.04322617,-0.206206149,0.167574697,0.484266352,0.416708394,0.325686075,-0.317234207,0.530976992,-0.22387168,0.538812286,-0.126825066,-0.059567041,-0.257248353,-0.08992683,0.177991797,-0.134276075,0.272022869,0.238969755,0.36566093,-0.278181533,0.235051065,-0.282686649,0.032101802,0.032403004,-0.092281559,0.383083505,0.053137767,0.530503979,59.05026823
B4,32,48h,EGF,2,48h_EGF,48h_EGF_2,0.095899458,-0.059482003,-0.343414599,0.832972258,0.308829781,-0.122053423,-0.059330583,0.145459681,-0.149629595,-0.169117103,0.297627396,0.389522023,0.535545399,0.31720279,0.16370718,0.065023774,0.037310825,-0.186972434,0.158805311,0.406207571,0.320654979,0.295099442,-0.305582738,0.506234663,-0.223641617,0.476924184,-0.126193923,-0.074341566,-0.256820369,-0.096588531,0.125542704,-0.128683447,0.222158193,0.211854453,0.346603941,-0.217071495,0.220392144,-0.241484763,-0.032217763,-0.03072155,0.131415525,0.318517566,-0.073218982,0.441826215,60.62019119
B4,33,48h,EGF,3,48h_EGF,48h_EGF_3,0.090885938,-0.078998418,-0.302058178,-0.712607215,0.324255445,-0.133804624,-0.071885935,0.140832535,-0.161490865,-0.183634089,0.279157353,0.4013564,0.545703197,0.308000144,0.169792538,0.075129696,0.039369057,-0.212042143,-0.174097232,0.406385346,0.327396988,-0.316360452,-0.305135128,0.469258647,-0.232459262,0.478851548,-0.140979125,-0.0816207,-0.273623046,-0.107676496,0.130815708,-0.143885279,0.212545466,0.22161607,0.362472705,-0.279845238,0.193761927,-0.245075694,-0.026985793,-0.026612269,0.179036217,0.342930369,-0.064190809,0.414078675,60.7028754
B4,34,48h,WNT3A,1,48h_WNT3A,48h_WNT3A_1,0.205105162,-0.267432247,-0.293467871,-0.188250931,-0.134979992,-0.10328103,-0.038149833,0.188101397,-0.057171966,-0.045607161,0.291803128,0.045067579,0.132858481,0.035354744,-0.227417052,-0.071183714,-0.010161356,0.046248786,0.019129019,0.097248717,-0.063347642,-0.036714649,-0.271881571,0.079225554,-0.123827143,0.129042979,-0.051050492,0.043383005,-0.067373982,-0.031516532,0.062963284,-0.093421749,0.043614584,-0.077982792,-0.067155956,0.927640381,-0.01100665,-0.297100732,-0.044975638,-0.044438116,0.090816477,-0.070464721,-0.121465672,0.983069361,44.09722222
B4,35,48h,WNT3A,2,48h_WNT3A,48h_WNT3A_2,0.232134038,-0.409772213,-0.250151511,-0.255494282,-0.284742623,-0.232648868,-0.120767861,-0.16212736,-0.250930056,-0.177434315,0.315719591,-0.414275022,-0.254590879,-0.231049529,-0.36492237,-0.182953375,-0.067140556,0.08098543,-0.132576277,-0.285631856,-0.22054003,-0.281808834,-0.516195029,-0.141274761,-0.233909836,-0.28466178,-0.142051084,0.030558153,-0.241318829,-0.097573513,-0.121035365,-0.177509326,-0.139925725,-0.239063194,-0.356090508,1.153230753,-0.0754123,-0.423668794,-0.087240288,-0.088279283,0.039764687,-0.235918703,-0.160462561,0.837801609,44.30379747
B4,36,48h,WNT3A,3,48h_WNT3A,48h_WNT3A_3,0.216683066,-0.390215857,-0.295288391,-0.340318152,-0.464677065,-0.309126986,-0.216064501,-0.172563623,-0.350735726,-0.300610858,-0.25666632,-0.455399648,-0.293726245,-0.292511987,-0.450842737,-0.260336343,-0.130980999,-0.168416675,-0.264039693,-0.317980569,-0.300303708,-0.403424191,-0.607796702,-0.198094299,-0.354536715,-0.362796949,-0.272812354,-0.111220741,-0.404086873,-0.227517166,-0.128053586,-0.291689851,-0.212648839,-0.357094827,-0.453329453,0.886734735,-0.152664223,-0.529066534,-0.112844816,-0.112157203,0.223652897,-0.277307502,-0.188268534,0.893854749,45.89235127
B4,1,6h,Ctrl,1,6h_Ctrl,6h_Ctrl_1,0.030133029,-0.029295048,-0.030828687,-0.041842708,-0.118207735,-0.035860729,-0.010509708,0.016230093,-0.027807907,-0.033347134,0.010821617,0.022235422,0.01747595,0.012156593,0.011790455,-0.016201872,-0.013287595,-0.044692723,-0.048138868,0.028653659,-0.024409103,-0.030131446,-0.021467774,-0.084097776,-0.038216457,0.035526867,-0.040291415,-0.024351041,-0.051582693,-0.023656057,-0.03976058,-0.043821778,-0.017979931,-0.016641589,-0.041558934,-0.042096958,-0.022203287,-0.0333163,-0.009708489,-0.00976252,-0.15379747,0.018840489,0.003887769,0.147579693,21.81704847
B4,2,6h,Ctrl,2,6h_Ctrl,6h_Ctrl_2,0.057776732,-0.022103133,0.029734135,0.112181677,-0.035060451,-0.033444085,-0.010057029,-0.051491971,-0.012406896,-0.018218013,-0.059047799,-0.065109784,-0.05729196,-0.035803454,-0.042683777,-0.015163042,-0.009480048,0.025730781,0.009270469,-0.085643018,-0.056187291,-0.031307611,-0.034184675,-0.021633131,0.013378594,-0.056655307,0.013875644,-0.01292279,-0.03551848,-0.020144783,-0.031551314,0.007640299,-0.042896285,-0.022717104,-0.031355251,-0.037071068,-0.012318138,-0.012055113,-0.009302038,-0.008842978,0.085986174,-0.076873532,0.005659858,0.163666121,19.74491047
B4,3,6h,Ctrl,3,6h_Ctrl,6h_Ctrl_3,0.084867045,0.050145116,-0.055494123,-0.062271022,0.097202806,0.06349311,0.01496226,0.033008446,0.038642621,0.047080255,0.055036503,0.067366946,0.050561006,0.039126967,0.051021954,0.030975902,0.017611222,0.029904642,0.044842019,0.078386704,0.075412992,0.057592517,0.049321167,0.071873647,0.041197551,0.054159212,0.033425413,0.03466356,0.087580924,0.043906382,0.072440478,0.044598007,0.051672454,0.033734929,0.054733718,0.078701902,0.0318641,0.036917539,0.013521789,0.013211403,0.087093466,0.062863986,0.005916768,0.157563025,21.07360525
B4,4,6h,EGF,1,6h_EGF,6h_EGF_1,0.010829553,0.022276005,-0.100115751,-0.114802421,0.133049513,0.027071367,-0.008556488,0.057805629,0.015451528,0.027852115,0.039487098,0.053719841,0.06444707,0.063392614,0.04939003,0.018899448,0.011913321,-0.034414064,0.026906004,0.071760057,0.093633729,0.057353295,0.058212358,0.022614587,0.030605853,0.048091023,0.030624265,-0.009566949,0.058124028,0.011637196,0.048773043,0.030995978,0.042119653,0.079745171,0.026453625,0.050727156,0.032677639,0.00754944,-0.005975667,-0.005147014,0.056507517,0.070750903,0.009200926,0.554785021,37.5193665
B4,5,6h,EGF,2,6h_EGF,6h_EGF_2,0.020090934,0.042943367,-0.065393925,-0.104944458,-0.094086927,-0.078022755,-0.051900399,-0.036558878,-0.052671901,-0.066789225,-0.054262449,-0.02984651,0.067618262,-0.042584493,-0.032845998,-0.039357686,-0.028212434,-0.025947581,-0.048521734,-0.049903418,-0.027784095,-0.053258302,0.026845373,0.080613128,-0.015261388,0.046187477,-0.043650918,-0.036849403,-0.071051241,-0.058669023,0.0254432,-0.051656311,0.020446659,0.035475884,0.035794242,0.046822832,-0.047647074,-0.04955996,-0.012807309,-0.013239461,0.152253183,-0.057793119,0.028082392,0.089806915,41.31147541
B4,6,6h,EGF,3,6h_EGF,6h_EGF_3,0.007397604,0.039034498,0.112965675,-0.168430157,-0.196625297,-0.0355766,-0.051299293,-0.078227214,-0.051755528,-0.059444518,-0.062431545,-0.068788188,-0.084050522,-0.059024047,-0.062416989,-0.034461659,-0.023748264,-0.010135663,-0.055543709,-0.113950466,-0.061745487,-0.107921532,-0.044943144,-0.025073962,-0.023854155,-0.065571356,-0.037804542,0.00995734,-0.091624134,-0.040761682,-0.028543735,-0.049994601,-0.018827146,-0.027641929,0.016712846,-0.047106061,-0.025602133,-0.028166207,-0.013716902,-0.013109799,0.241922794,-0.145772426,0.021296124,0.342298289,38.08797909
B4,7,6h,WNT3A,1,6h_WNT3A,6h_WNT3A_1,0.063651928,-0.020530049,0.101305832,-0.15296137,-0.093688097,-0.044523886,-0.035438772,-0.107409759,-0.04666109,-0.065246182,-0.17608136,-0.165031776,-0.265722644,-0.161151318,-0.106330877,-0.054609989,-0.031765751,-0.041777228,-0.061583067,-0.252621284,-0.178436685,-0.153170243,-0.119290816,-0.104149988,-0.090680187,-0.224461676,-0.020741316,-0.045512252,-0.13942873,-0.035135183,-0.079518999,-0.037969413,-0.135979643,-0.119185601,-0.069753316,0.05847495,-0.034978641,-0.05022441,0.020874232,0.021233923,-0.022919106,-0.263558137,0.029574401,0.284164299,22.67884323
B4,8,6h,WNT3A,2,6h_WNT3A,6h_WNT3A_2,0.014096769,-0.013547002,-0.040602591,-0.112770819,0.033476054,-0.023379209,-0.012626006,0.0493729,0.006458696,-0.022144363,-0.014567368,0.022055677,-0.016205392,0.015705393,0.021741273,0.011957549,0.008602139,-0.048550125,-0.007345153,0.009987595,0.032431176,0.01204792,0.026083641,-0.01650354,0.008222441,-0.023804685,0.010584989,-0.009848333,0.020310393,-0.015280196,0.053485216,-0.005753829,0.022871982,0.049361613,-0.014463383,0.06093746,-0.006947792,-0.009508816,-0.004617865,-0.006470725,-0.015533679,-0.022031771,0.008257148,0.430036388,36.25668449
B4,9,6h,WNT3A,3,6h_WNT3A,6h_WNT3A_3,0.016713697,-0.009136017,-0.044951256,-0.126370809,0.025034519,0.033460894,-0.011405573,0.082086019,0.011285379,0.011193264,0.022813785,0.015078143,0.041426311,0.017894856,0.023748342,-0.01772139,0.007829541,-0.067571086,-0.023287194,0.021435579,0.020389171,0.027665953,0.022552142,-0.072254281,-0.018876666,-0.070912662,-0.016206936,-0.023041448,0.01033023,0.017491008,0.033828424,-0.015236131,0.01285251,0.020280978,-0.038174857,-0.14105424,0.009715761,-0.020364586,-0.005579178,-0.005765464,0.027142216,-0.046035055,0.007906533,0.265700483,31.08298172
