"genotype","media","meanEMD"
"KP","Ctrl",0.0704452388579963
"KP","Ctrl",0.0533204179294405
"KP","Ctrl",0.0575187488142381
"KP","WNT3A",0.397639322802742
"KP","WNT3A",0.457889477850937
"KP","WNT3A",0.388882027203122
"KP","EGF",0.0786360558106309
"KP","EGF",0.139544744750842
"KP","EGF",0.148403703923332
"KP","WNT5A",0.103429280603334
"KP","WNT5A",0.133651687317285
"KP","WNT5A",0.14960382832419
"KP","SEMA3A",0.0860893073361134
"KP","SEMA3A",0.0658371794508161
"KP","SEMA3A",0.0994207025173362
"KP","TGFB2",0.104080507841472
"KP","TGFB2",0.12669899783967
"KP","TGFB2",0.134276261733859
"KP","TGFB1",0.222525436277154
"KP","TGFB1",0.260984966800949
"KP","TGFB1",0.310417286707415
"KP","IGF1",0.076634519046957
"KP","IGF1",0.13463961645431
"KP","IGF1",0.101316807962972
"KP","NRG1",0.203918693584116
"KP","NRG1",0.212003669488475
"KP","NRG1",0.278130276207413
"KP","EREG",0.20983837204516
"KP","EREG",0.171384223020526
"KP","EREG",0.223798830549755
"KP","OPN",0.123341902067115
"KP","OPN",0.0882269494019057
"KP","OPN",0.108372829582058
"K","Ctrl",0.0712229919703413
"K","Ctrl",0.0330271958805521
"K","Ctrl",0.0708648353405229
"K","WNT3A",0.550695961681939
"K","WNT3A",0.557259943034694
"K","WNT3A",0.529757170238175
"K","EGF",0.144728337348725
"K","EGF",0.125413203495774
"K","EGF",0.109081568058145
"K","WNT5A",0.128218233846452
"K","WNT5A",0.177935577938072
"K","WNT5A",0.108239617639666
"K","SEMA3A",0.163731405495606
"K","SEMA3A",0.0499271657135573
"K","SEMA3A",0.0772559415445205
"K","TGFB2",0.115712474358118
"K","TGFB2",0.170117255797907
"K","TGFB2",0.175866560947539
"K","TGFB1",0.392962800023528
"K","TGFB1",0.270915104057077
"K","TGFB1",0.415753096457343
"K","IGF1",0.0920800980841243
"K","IGF1",0.130588915125854
"K","IGF1",0.0706898330001141
"K","NRG1",0.153052187198639
"K","NRG1",0.17748340578448
"K","NRG1",0.169465220036449
"K","EREG",0.165018527464199
"K","EREG",0.15022303154896
"K","EREG",0.126858606053315
"K","OPN",0.0898206906015098
"K","OPN",0.136570971364329
"K","OPN",0.135528643377863
"WT","Ctrl",0.0832568707896772
"WT","Ctrl",0.0646884008370084
"WT","Ctrl",0.0997778522317246
"WT","WNT3A",0.620883126488717
"WT","WNT3A",0.622949295265842
"WT","WNT3A",0.722705942658789
"WT","TGFB2",0.241178808110241
"WT","TGFB2",0.192272611999029
"WT","TGFB2",0.248416525148399
"WT","TGFB1",0.49620563413382
"WT","TGFB1",0.502674957553315
"WT","TGFB1",0.569808866593946
"A","Ctrl",0.104202541830513
"A","Ctrl",0.0442044794596292
"A","Ctrl",0.0724815950481425
"A","EGF",0.414867301262283
"A","EGF",0.402455580891989
"A","EGF",0.330360363221768
"A","WNT5A",0.154241452318567
"A","WNT5A",0.0967641946667973
"A","WNT5A",0.104599837093381
"A","SEMA3A",0.0675164413551288
"A","SEMA3A",0.111825855262848
"A","SEMA3A",0.0831782906499245
"A","IGF1",0.0755780145268707
"A","IGF1",0.104399037880822
"A","IGF1",0.0997764651427517
"A","NRG1",0.225903734829649
"A","NRG1",0.295822300352692
"A","NRG1",0.329438770971255
"A","EREG",0.371383628025091
"A","EREG",0.387332484655826
"A","EREG",0.389334732161113
"A","OPN",0.119116657139718
"A","OPN",0.0850647191011754
"A","OPN",0.1017889492177
"A","Ctrl",0.0839485465947179
"A","Ctrl",0.0529874124659366
"A","Ctrl",0.0992425726146902
"A","WNT3A",0.467561784003334
"A","WNT3A",0.463798719286813
"A","WNT3A",0.467535742094657
"A","TGFB2",0.187000143670034
"A","TGFB2",0.160951818152507
"A","TGFB2",0.211425382914252
"A","TGFB1",0.295683927149483
"A","TGFB1",0.382090142227326
"A","TGFB1",0.410402005726984
"AKP","Ctrl",0.0865800513932613
"AKP","Ctrl",0.102367747822861
"AKP","Ctrl",0.0500356851859742
"AKP","WNT3A",0.16180830226492
"AKP","WNT3A",0.21813417975566
"AKP","WNT3A",0.279079706091944
"AKP","EGF",0.152000292685716
"AKP","EGF",0.151679626469803
"AKP","EGF",0.0889467252170676
"AKP","WNT5A",0.116975926647416
"AKP","WNT5A",0.100331561899151
"AKP","WNT5A",0.122618684129763
"AKP","SEMA3A",0.0838037426348377
"AKP","SEMA3A",0.120084606060332
"AKP","SEMA3A",0.0782665359597123
"AKP","TGFB2",0.130700251801831
"AKP","TGFB2",0.0842529172408057
"AKP","TGFB2",0.165063756909753
"AKP","TGFB1",0.132425017903062
"AKP","TGFB1",0.166285131581645
"AKP","TGFB1",0.179211481150643
"AKP","IGF1",0.0628633531257707
"AKP","IGF1",0.0986676666045925
"AKP","IGF1",0.113227307151174
"AKP","NRG1",0.125958306518963
"AKP","NRG1",0.129291997432786
"AKP","NRG1",0.123642588547576
"AKP","EREG",0.158980383508885
"AKP","EREG",0.139027861793072
"AKP","EREG",0.143854375679352
"AKP","OPN",0.0759259243482859
"AKP","OPN",0.157600802138477
"AKP","OPN",0.20334533299809
"WT","Ctrl",0.055274442367377
"WT","Ctrl",0.0534559714768625
"WT","Ctrl",0.0318842153162974
"WT","EGF",0.231601149572864
"WT","EGF",0.222782517164491
"WT","EGF",0.255304433504691
"WT","WNT5A",0.0950403983988442
"WT","WNT5A",0.220251366459547
"WT","WNT5A",0.134964179538283
"WT","SEMA3A",0.0902857272619484
"WT","SEMA3A",0.120345395646248
"WT","SEMA3A",0.109543479793038
"WT","IGF1",0.0532921841535142
"WT","IGF1",0.0666848740087495
"WT","IGF1",0.0898931216113947
"WT","NRG1",0.145114918758736
"WT","NRG1",0.176898586739165
"WT","NRG1",0.181748172327447
"WT","EREG",0.267095874888756
"WT","EREG",0.227900589948601
"WT","EREG",0.236092383654188
"WT","OPN",0.0886888729536533
"WT","OPN",0.0440141521984442
"WT","OPN",0.0901149960795654
"AK","Ctrl",0.1209086643165
"AK","Ctrl",0.0489451396491538
"AK","Ctrl",0.131790014207833
"AK","WNT3A",0.290433123166539
"AK","WNT3A",0.360677623649346
"AK","WNT3A",0.325374919188705
"AK","EGF",0.0901602174613985
"AK","EGF",0.0604911216032897
"AK","EGF",0.118491771047106
"AK","WNT5A",0.0564329220184252
"AK","WNT5A",0.0667650957671134
"AK","WNT5A",0.167170470675006
"AK","SEMA3A",0.0796420253068475
"AK","SEMA3A",0.0569235412910391
"AK","SEMA3A",0.152891193232982
"AK","TGFB2",0.19267457342671
"AK","TGFB2",0.116031900655681
"AK","TGFB2",0.164891904880739
"AK","TGFB1",0.209231812416415
"AK","TGFB1",0.282240845346895
"AK","TGFB1",0.306193995693126
"AK","IGF1",0.119856666030037
"AK","IGF1",0.107852856529929
"AK","IGF1",0.19620145834199
"AK","NRG1",0.0896653496145177
"AK","NRG1",0.11088283847813
"AK","NRG1",0.192274924171841
"AK","EREG",0.103573266931691
"AK","EREG",0.193897270107412
"AK","EREG",0.230969994242664
"AK","OPN",0.108469322075095
"AK","OPN",0.192730648459114
"AK","OPN",0.343469900524374
